<android.app.Notification$Builder: android.app.Notification getNotification()> -> _SOURCE_
<android.view.ViewGroup: int getChildMeasureSpec(int,int,int)> -> _SOURCE_
<android.text.Layout: java.lang.CharSequence getText()> -> _SOURCE_
<android.os.Bundle: java.lang.String getString(java.lang.String)> -> _SOURCE_
<android.content.BroadcastReceiver: android.content.BroadcastReceiver$PendingResult goAsync()> -> _SOURCE_
<android.content.res.Resources: android.content.res.XmlResourceParser getAnimation(int)> -> _SOURCE_
<android.view.View: int getMeasuredWidth()> -> _SOURCE_
<android.content.Intent: java.lang.String resolveTypeIfNeeded(android.content.ContentResolver)> -> _SOURCE_
<android.content.res.Resources: android.content.res.AssetManager getAssets()> -> _SOURCE_
<java.lang.Number: short shortValue()> -> _SOURCE_
<android.text.Layout: int getLineBottom(int)> -> _SOURCE_
<android.widget.ImageView: android.widget.ImageView$ScaleType getScaleType()> -> _SOURCE_
<android.util.SparseArray: java.lang.Object get(int,java.lang.Object)> -> _SOURCE_
<android.widget.Scroller: int getFinalX()> -> _SOURCE_
<java.util.Vector: java.lang.Object get(int)> -> _SOURCE_
<java.util.zip.ZipEntry: long getTime()> -> _SOURCE_
<org.json.JSONObject: java.lang.String getString(java.lang.String)> -> _SOURCE_
<java.util.Currency: java.lang.String getCurrencyCode()> -> _SOURCE_
<java.lang.Thread: java.lang.String getName()> -> _SOURCE_
<android.view.ViewConfiguration: int getScaledMaximumFlingVelocity()> -> _SOURCE_
<java.lang.Enum: java.lang.String name()> -> _SOURCE_
<android.widget.CursorAdapter: android.database.Cursor getCursor()> -> _SOURCE_
<android.content.res.TypedArray: java.lang.String getString(int)> -> _SOURCE_
<android.content.res.Resources: float getDimension(int)> -> _SOURCE_
<android.content.Intent: java.lang.String getAction()> -> _SOURCE_
<android.widget.TextView: android.text.Editable getEditableText()> -> _SOURCE_
<android.widget.HeaderViewListAdapter: android.widget.ListAdapter getWrappedAdapter()> -> _SOURCE_
<java.net.URL: java.lang.String getProtocol()> -> _SOURCE_
<android.view.accessibility.AccessibilityRecord: int getScrollY()> -> _SOURCE_
<java.lang.reflect.Constructor: int getModifiers()> -> _SOURCE_
<android.content.res.Resources: int getInteger(int)> -> _SOURCE_
<android.database.sqlite.SQLiteDatabase: java.util.List getAttachedDbs()> -> _SOURCE_
<android.database.sqlite.SQLiteDatabase: java.lang.String getPath()> -> _SOURCE_
<java.util.TimeZone: java.util.TimeZone getTimeZone(java.lang.String)> -> _SOURCE_
<java.util.Currency: java.util.Currency getInstance(java.util.Locale)> -> _SOURCE_
<android.graphics.Bitmap: int getScaledHeight(int)> -> _SOURCE_
<android.widget.PopupWindow: int getHeight()> -> _SOURCE_
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()> -> _SOURCE_
<android.widget.HeaderViewListAdapter: int getHeadersCount()> -> _SOURCE_
<java.net.URLConnection: java.lang.Object getContent()> -> _SOURCE_
<java.util.WeakHashMap: java.lang.Object get(java.lang.Object)> -> _SOURCE_
<android.view.MotionEvent: int getPointerCount()> -> _SOURCE_
<java.lang.String: byte[] getBytes()> -> _SOURCE_
